language,languageLabel,statusLabel,native,ISO,countryLabel,IDH,coordinates,Population
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Burundi,0.417,Point(29.816667 -3.666667),11530580
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Burundi,0.417,Point(29.816667 -3.666667),11530580
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Comoras,0.503,Point(44.44553 -12.23333),823652
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Comoras,0.503,Point(44.44553 -12.23333),823652
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,República del Congo,0.606,Point(15.383330555 -0.75),5260750
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,República del Congo,0.606,Point(15.383330555 -0.75),5260750
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,República Democrática del Congo,0.457,Point(23.656 -2.88),86790567
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,República Democrática del Congo,0.457,Point(23.656 -2.88),86790567
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Yibuti,0.476,Point(42.433333 11.8),956985
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Yibuti,0.476,Point(42.433333 11.8),956985
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Guinea Ecuatorial,0.591,Point(10.0 1.5),1267689
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Guinea Ecuatorial,0.591,Point(10.0 1.5),1267689
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Gabón,0.702,Point(11.5 -0.683330555),2025137
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Gabón,0.702,Point(11.5 -0.683330555),2025137
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Guinea,0.459,Point(-11.0 10.0),12717176
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Guinea,0.459,Point(-11.0 10.0),12717176
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Costa de Marfil,0.492,Point(-6.0 8.0),24294750
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Costa de Marfil,0.492,Point(-6.0 8.0),24294750
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Camerún,0.556,Point(12.0 7.0),24053727
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Camerún,0.556,Point(12.0 7.0),24053727
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Madagascar,0.519,Point(47.0 -20.0),25570895
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Madagascar,0.519,Point(47.0 -20.0),25570895
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Mauritania,0.52,Point(-11.0 21.0),4420184
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Mauritania,0.52,Point(-11.0 21.0),4420184
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Mauricio,0.79,Point(57.5 -20.2),1264613
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Mauricio,0.79,Point(57.5 -20.2),1264613
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Marruecos,0.667,Point(-6.0 32.0),36029138
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Marruecos,0.667,Point(-6.0 32.0),36029138
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Níger,0.354,Point(10.0 17.0),21477348
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Níger,0.354,Point(10.0 17.0),21477348
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Ruanda,0.524,Point(29.873888888 -1.940277777),12208407
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Ruanda,0.524,Point(29.873888888 -1.940277777),12208407
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Senegal,0.505,Point(-14.283333 14.366667),15850567
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Senegal,0.505,Point(-14.283333 14.366667),15850567
http://www.wikidata.org/entity/Q150,francés,O internacional,76795640,fra,Seychelles,0.797,Point(52.766667 -7.1),95843
http://www.wikidata.org/entity/Q150,francés,O internacional,208157220,fra,Seychelles,0.797,Point(52.766667 -7.1),95843
http://www.wikidata.org/entity/Q36106,ligur,5 en desarrollo,2000000,lij,Italia,0.873,Point(12.5 42.5),60317000
http://www.wikidata.org/entity/Q180937,albanés tosco,1 nacional,3000000,als,Grecia,0.865,Point(23.0 38.5),10760421
http://www.wikidata.org/entity/Q36494,Idioma quiché,4 educacional,2000000,quc,México,0.756,Point(-102.0 23.0),124777324
http://www.wikidata.org/entity/Q2574767,Idioma kamba,4 educacional,3893000,kam,Kenia,0.548,Point(38.0 0.1),48468138
http://www.wikidata.org/entity/Q5414796,Dholuo,5 en desarrollo,3000000,luo,Kenia,0.548,Point(38.0 0.1),48468138
http://www.wikidata.org/entity/Q35107,baoulé,5 en desarrollo,2100000,bci,Ghana,0.592,Point(-0.5 8.0),26908262
http://www.wikidata.org/entity/Q36106,ligur,5 en desarrollo,2000000,lij,Francia,0.888,Point(2.0 47.0),66628000
http://www.wikidata.org/entity/Q35100,Bouyei,6a vigorosa,2000000,pcc,China,0.752,Point(103.451944444 35.844722222),1409517397
http://www.wikidata.org/entity/Q56583,Pu-Xian Min,5 en desarrollo,2500000,cpx,China,0.752,Point(103.451944444 35.844722222),1409517397
http://www.wikidata.org/entity/Q8054983,Yongbei Zhuang,6a vigorosa,1980000,zyb,China,0.752,Point(103.451944444 35.844722222),1409517397
http://www.wikidata.org/entity/Q35100,Bouyei,6a vigorosa,2000000,pcc,China,0.752,Point(103.451944444 35.844722222),1443497378
http://www.wikidata.org/entity/Q56583,Pu-Xian Min,5 en desarrollo,2500000,cpx,China,0.752,Point(103.451944444 35.844722222),1443497378
http://www.wikidata.org/entity/Q8054983,Yongbei Zhuang,6a vigorosa,1980000,zyb,China,0.752,Point(103.451944444 35.844722222),1443497378
http://www.wikidata.org/entity/Q3436689,Brazilian Sign Language,5 en desarrollo,3000000,bzs,Brasil,0.754,Point(-53.0 -14.0),210147125
http://www.wikidata.org/entity/Q6399808,Khalkha Mongolian,1 nacional,2704030,khk,Rusia,0.816,Point(94.25 66.416666666),146804372
http://www.wikidata.org/entity/Q699284,Alto sajón,6a vigorosa,2000000,sxu,Alemania,0.926,Point(10.0 51.0),83149300
http://www.wikidata.org/entity/Q180937,albanés tosco,1 nacional,3000000,als,Albania,0.764,Point(20.0 41.0),3020209
http://www.wikidata.org/entity/Q1294047,Idioma sasak,5 en desarrollo,2000000,sas,Indonesia,0.694,Point(118.0 -2.0),270625568
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,3400000,tso,Sudáfrica,0.699,Point(24.0 -29.0),59622350
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,4009000,tso,Sudáfrica,0.699,Point(24.0 -29.0),59622350
http://www.wikidata.org/entity/Q56231,hassanía,3 amplia comunicación,3763900,mey,Argelia,0.754,Point(1.0 28.0),41318142
http://www.wikidata.org/entity/Q36109,Maithili,2 provincial,3092530,mai,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q2426319,Bagri,6a vigorosa,1890815,bgq,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q5575236,Goan Konkani,5 en desarrollo,3633900,gom,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q11732445,Merwari,6a vigorosa,4000000,wry,India,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q6399808,Khalkha Mongolian,1 nacional,2704030,khk,Mongolia,0.741,Point(104.0 47.0),3075647
http://www.wikidata.org/entity/Q35939,Criollo jamaicano,5 en desarrollo,3200000,jam,Jamaica,0.732,Point(-77.4 18.18),2890299
http://www.wikidata.org/entity/Q36494,Idioma quiché,4 educacional,2000000,quc,Guatemala,0.627,Point(-90.25 15.5),17263239
http://www.wikidata.org/entity/Q1496597,Southern Kurdish,6a vigorosa,3000000,sdh,Irán,0.798,Point(53.0 32.0),79966230
http://www.wikidata.org/entity/Q1496597,Southern Kurdish,6a vigorosa,3000000,sdh,Irak,0.685,Point(43.0 33.0),38274618
http://www.wikidata.org/entity/Q35939,Criollo jamaicano,5 en desarrollo,3200000,jam,Costa Rica,0.794,Point(-84.0 10.0),4905769
http://www.wikidata.org/entity/Q35939,Criollo jamaicano,5 en desarrollo,3200000,jam,Panamá,0.78,Point(-80.366667 8.616667),4098587
http://www.wikidata.org/entity/Q10867404,Sabah Malay,3 amplia comunicación,3000000,msi,Malasia,0.802,Point(108.0 3.0),31624264
http://www.wikidata.org/entity/Q56410,S'gaw Karen,3 amplia comunicación,4000000,ksw,Birmania,0.578,Point(96.0 22.0),53370609
http://www.wikidata.org/entity/Q56482,shan,3 amplia comunicación,3000000,shn,Birmania,0.578,Point(96.0 22.0),53370609
http://www.wikidata.org/entity/Q3241177,Rohinyá,6a vigorosa,1800000,rhg,Birmania,0.578,Point(96.0 22.0),53370609
http://www.wikidata.org/entity/Q36109,Maithili,2 provincial,3092530,mai,Nepal,0.574,Point(84.0 28.0),30327877
http://www.wikidata.org/entity/Q12952252,Eastern Balochi,5 en desarrollo,3050000,bgp,Pakistán,0.562,Point(71.0 30.0),216565318
http://www.wikidata.org/entity/Q56583,Pu-Xian Min,5 en desarrollo,2500000,cpx,República de China,0.911,Point(121.0 24.0),23593794
http://www.wikidata.org/entity/Q56410,S'gaw Karen,3 amplia comunicación,4000000,ksw,Tailandia,0.755,Point(101.0 14.0),65931550
http://www.wikidata.org/entity/Q56482,shan,3 amplia comunicación,3000000,shn,Tailandia,0.755,Point(101.0 14.0),65931550
http://www.wikidata.org/entity/Q35100,Bouyei,6a vigorosa,2000000,pcc,Vietnam,0.694,Point(108.0 16.0),94660000
http://www.wikidata.org/entity/Q3241177,Rohinyá,6a vigorosa,1800000,rhg,Bangladés,0.632,Point(89.866667 24.016667),165775000
http://www.wikidata.org/entity/Q56231,hassanía,3 amplia comunicación,3763900,mey,Malí,0.427,Point(-4.0 17.0),18541980
http://www.wikidata.org/entity/Q35172,Idioma makonde,5 en desarrollo,1700000,kde,Tanzania,0.538,Point(34.854 -6.307),57310019
http://www.wikidata.org/entity/Q5414796,Dholuo,5 en desarrollo,3000000,luo,Tanzania,0.538,Point(34.854 -6.307),57310019
http://www.wikidata.org/entity/Q34279,Idioma samareño,3 amplia comunicación,3100000,war,Filipinas,0.699,Point(123.0 12.0),100981437
http://www.wikidata.org/entity/Q36121,Idioma pampango,3 amplia comunicación,2400000,pam,Filipinas,0.699,Point(123.0 12.0),100981437
http://www.wikidata.org/entity/Q10867404,Sabah Malay,3 amplia comunicación,3000000,msi,Filipinas,0.699,Point(123.0 12.0),100981437
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,3400000,tso,Zimbabue,0.535,Point(30.0 -19.0),16529904
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,4009000,tso,Zimbabue,0.535,Point(30.0 -19.0),16529904
http://www.wikidata.org/entity/Q36486,Shilluk,5 en desarrollo,2000000,shk,Sudán del Sur,0.388,Point(30.0 7.0),12575714
http://www.wikidata.org/entity/Q36217,lingala,2 provincial,2000000,lin,República del Congo,0.606,Point(15.383330555 -0.75),5260750
http://www.wikidata.org/entity/Q36217,lingala,2 provincial,2000000,lin,República Democrática del Congo,0.457,Point(23.656 -2.88),86790567
http://www.wikidata.org/entity/Q35107,baoulé,5 en desarrollo,2100000,bci,Costa de Marfil,0.492,Point(-6.0 8.0),24294750
http://www.wikidata.org/entity/Q35541,Camerunés criollo,3 amplia comunicación,2000000,wes,Camerún,0.556,Point(12.0 7.0),24053727
http://www.wikidata.org/entity/Q34257,wólof,4 educacional,3700000,wol,Mauritania,0.52,Point(-11.0 21.0),4420184
http://www.wikidata.org/entity/Q56231,hassanía,3 amplia comunicación,3763900,mey,Mauritania,0.52,Point(-11.0 21.0),4420184
http://www.wikidata.org/entity/Q49741,Tamazight del Marruecos Central,6a vigorosa,3000000,tzm,Marruecos,0.667,Point(-6.0 32.0),36029138
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,3400000,tso,Mozambique,0.437,Point(35.0 -19.0),29668834
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,4009000,tso,Mozambique,0.437,Point(35.0 -19.0),29668834
http://www.wikidata.org/entity/Q35172,Idioma makonde,5 en desarrollo,1700000,kde,Mozambique,0.437,Point(35.0 -19.0),29668834
http://www.wikidata.org/entity/Q34257,wólof,4 educacional,3700000,wol,Senegal,0.505,Point(-14.283333 14.366667),15850567
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,3400000,tso,Suazilandia,0.588,Point(31.433333 -26.483333),1124753
http://www.wikidata.org/entity/Q34327,tsonga,1 nacional,4009000,tso,Suazilandia,0.588,Point(31.433333 -26.483333),1124753
